                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7293,                  3.257,                 3.6622,                 0.3945,                0.45197,                0.37492,                0.13531,                 2.2168,                 2.7756,                 3.0152,             0.00055247,             0.00055247,             0.00055247
                      2,                 1.7173,                 1.8248,                 2.3858,                0.74938,                0.65596,                0.74155,                0.45109,                 1.4992,                 1.9144,                 2.2731,              0.0010167,              0.0010167,              0.0010167
                      3,                 1.2499,                 1.2837,                 1.9412,                0.85494,                0.78275,                0.86969,                0.59736,                 1.2013,                 1.2326,                  1.954,              0.0013893,              0.0013893,              0.0013893
                      4,                 1.1054,                0.92482,                 1.7668,                0.73347,                 0.7185,                0.80189,                0.54744,                 1.1715,                 1.5103,                 1.7985,              0.0012544,              0.0012544,              0.0012544
                      5,                 1.0346,                 0.8083,                 1.6632,                0.92856,                0.92297,                0.96311,                0.69316,                 1.1007,                0.81179,                 1.7375,              0.0012544,              0.0012544,              0.0012544
                      6,                 1.0007,                0.73001,                 1.6231,                0.88878,                0.89632,                0.94209,                0.69253,                 1.0321,                0.85536,                 1.6418,              0.0011169,              0.0011169,              0.0011169
                      7,                0.93667,                0.64699,                 1.5508,                 0.9296,                0.94915,                0.97175,                0.69689,                0.99744,                0.69044,                 1.6488,             0.00097936,             0.00097936,             0.00097936
                      8,                0.91699,                0.61405,                 1.5212,                0.87068,                0.90541,                0.95501,                0.72209,                0.97432,                0.73471,                 1.5732,             0.00084184,             0.00084184,             0.00084184
                      9,                0.87417,                0.57294,                 1.4779,                0.94763,                0.84907,                0.95731,                0.71099,                 1.0138,                0.71338,                 1.6478,             0.00070431,             0.00070431,             0.00070431
                     10,                0.85243,                0.54971,                 1.4553,                0.94933,                0.96075,                0.98134,                0.75612,                 0.9083,                0.57836,                 1.5138,             0.00056678,             0.00056678,             0.00056678
                     11,                0.82412,                0.52934,                 1.4396,                0.96011,                0.96171,                 0.9826,                 0.7759,                0.87419,                0.53737,                 1.5048,             0.00042925,             0.00042925,             0.00042925
                     12,                0.80155,                0.50221,                 1.4215,                0.96074,                0.96648,                0.98461,                0.77594,                0.87936,                0.52969,                 1.4688,             0.00029172,             0.00029172,             0.00029172
